-0.358406 0     0.0514126 0
-0.401406 0.00159686     0.0511306 5.9892e-05
-0.401341 0.0015931     0.0511304 5.97018e-05
-0.401283 0.00158912     0.0511281 5.95569e-05
-0.401329 0.00158476     0.0511256 5.94207e-05
-0.40133 0.00157977     0.0511235 5.92732e-05
-0.401286 0.00157542     0.0511154 5.96313e-05
-0.401146 0.00157676     0.051115 5.94465e-05
-0.401102 0.00157247     0.0511161 5.9272e-05
-0.401184 0.00156973     0.0511182 5.91255e-05
-0.401114 0.0015664     0.0511166 5.89653e-05
-0.401081 0.00156191     0.0511202 5.88931e-05
-0.401063 0.0015572     0.0511195 5.87157e-05
-0.400941 0.00155722     0.0511188 5.85388e-05
-0.400912 0.00155272     0.0511168 5.83936e-05
-0.40089 0.00154813     0.0511171 5.82161e-05
-0.400831 0.00154455     0.0511142 5.81161e-05
-0.40075 0.00154203     0.0511115 5.80024e-05
-0.400725 0.00153755     0.0511148 5.79252e-05
-0.400832 0.0015366     0.0511137 5.77619e-05
-0.400843 0.00153201     0.0511124 5.76026e-05
-0.400829 0.00152748     0.0511104 5.74647e-05
-0.400847 0.00152302     0.0511121 5.73191e-05
-0.40083 0.00151857     0.0511174 5.73937e-05
-0.400877 0.00151478     0.0511183 5.72293e-05
-0.400859 0.0015104     0.0511182 5.70598e-05
-0.400834 0.00150615     0.0511149 5.69855e-05
-0.400835 0.00150171     0.0511146 5.68186e-05
-0.400809 0.00149753     0.0511164 5.66814e-05
-0.400858 0.00149395     0.0511153 5.65261e-05
-0.400718 0.00149613     0.0511121 5.64553e-05
-0.40067 0.00149255     0.0511136 5.63114e-05
-0.400552 0.00149286     0.0511114 5.61905e-05
-0.400446 0.0014923     0.0511106 5.60342e-05
-0.400513 0.0014895     0.0511125 5.59052e-05
-0.400649 0.00149142     0.0511125 5.57443e-05
-0.400679 0.00148745     0.0511113 5.55964e-05
-0.400686 0.00148321     0.0511102 5.54497e-05
-0.400646 0.00147954     0.0511112 5.53018e-05
-0.400599 0.00147607     0.0511096 5.51691e-05
-0.400423 0.00148234     0.0511094 5.5013e-05
-0.400409 0.00147821     0.0511141 5.50635e-05
-0.400457 0.00147485     0.051118 5.50477e-05
-0.400513 0.00147174     0.0511193 5.49079e-05
-0.400567 0.0014686     0.0511198 5.47558e-05
-0.40056 0.00146451     0.0511219 5.46425e-05
-0.400556 0.00146043     0.0511214 5.44922e-05
-0.400586 0.00145668     0.0511213 5.43408e-05
-0.400515 0.00145436     0.0511212 5.419e-05
-0.400441 0.00145223     0.051121 5.40405e-05
-0.400544 0.00145186     0.0511267 5.41913e-05
-0.40056 0.00144796     0.0511295 5.41105e-05
-0.400554 0.001444     0.051128 5.39806e-05
-0.400619 0.00144151     0.0511292 5.38459e-05
-0.400674 0.00143864     0.0511274 5.3731e-05
-0.40059 0.00143718     0.0511283 5.35932e-05
-0.400538 0.00143424     0.051129 5.34521e-05
-0.400585 0.00143114     0.0511282 5.33138e-05
-0.400588 0.00142728     0.0511246 5.32914e-05
-0.400682 0.00142654     0.051124 5.31511e-05
-0.400704 0.00142288     0.0511264 5.30632e-05
-0.400704 0.00141907     0.0511274 5.29302e-05
-0.4006 0.00141911     0.0511258 5.28133e-05
-0.40047 0.00142128     0.0511254 5.26743e-05
-0.400476 0.00141752     0.0511277 5.25844e-05
-0.40051 0.00141416     0.0511308 5.25386e-05
-0.400418 0.00141344     0.0511279 5.24823e-05
-0.400385 0.00141008     0.0511279 5.2344e-05
