-5.0346 0     2.03351 0
-5.03031 0.000469371     2.10562 0.00257286
-5.03031 0.00046832     2.10551 0.00256944
-5.03033 0.000467735     2.10544 0.00256452
-5.03033 0.000466683     2.10543 0.00255866
-5.03036 0.000466061     2.10525 0.00255875
-5.03036 0.000465094     2.10527 0.00255296
-5.03035 0.000464362     2.10535 0.00254851
-5.03033 0.000463574     2.10529 0.00254338
-5.03033 0.000462522     2.10535 0.0025383
-5.03033 0.000461479     2.10532 0.00253274
-5.03033 0.000460441     2.10526 0.00252785
-5.03033 0.000459405     2.10523 0.00252228
-5.03032 0.00045841     2.10521 0.00251674
-5.03033 0.000457404     2.10527 0.00251194
-5.03032 0.000456497     2.10538 0.00250855
-5.03033 0.000455684     2.10532 0.0025036
-5.03029 0.000456481     2.10543 0.00250025
-5.03031 0.000455874     2.10545 0.00249476
-5.03033 0.00045546     2.10533 0.00249178
-5.03036 0.000455064     2.10521 0.0024891
-5.03039 0.000454856     2.10498 0.00249441
-5.03041 0.000454398     2.10489 0.00249059
-5.03044 0.000454248     2.10475 0.00248896
-5.03045 0.000453538     2.10484 0.00248495
-5.03044 0.00045269     2.10489 0.00247999
-5.03047 0.000452913     2.10465 0.00248624
-5.03045 0.000452295     2.10461 0.00248103
-5.03046 0.000451326     2.1045 0.00247819
-5.03043 0.000451209     2.10471 0.00248181
-5.03046 0.000451131     2.10458 0.00247998
-5.03045 0.000450193     2.10463 0.00247505
-5.03041 0.000450968     2.10486 0.00248039
-5.03041 0.000450046     2.10488 0.00247518
-5.03037 0.000450538     2.10506 0.00247645
-5.03038 0.000449653     2.10499 0.00247225
-5.03034 0.000450223     2.10523 0.00247917
-5.03036 0.000449577     2.10513 0.00247623
-5.03036 0.00044862     2.10508 0.0024713
-5.03036 0.000447667     2.10522 0.0024695
-5.03037 0.000446917     2.10514 0.00246542
-5.03035 0.000446647     2.10516 0.00246032
-5.03036 0.000445769     2.10529 0.00245829
-5.03034 0.000445257     2.10547 0.00246015
-5.03032 0.000444711     2.10546 0.00245502
-5.03032 0.000443816     2.10542 0.00245013
-5.03033 0.000442981     2.10534 0.00244631
-5.03034 0.000442098     2.10532 0.00244133
-5.03032 0.000441412     2.10535 0.00243642
-5.03036 0.000441848     2.10522 0.00243457
-5.03035 0.000440952     2.10522 0.00242952
-5.03037 0.000440218     2.10512 0.0024267
-5.03036 0.000439363     2.10525 0.0024257
-5.03032 0.00044033     2.10546 0.00242902
-5.0303 0.000439954     2.10556 0.00242611
-5.03031 0.000439209     2.10557 0.00242116
-5.03031 0.00043831     2.10551 0.00241706
-5.0303 0.000437667     2.10549 0.0024122
-5.03029 0.000436839     2.10553 0.00240774
-5.03029 0.000435959     2.1055 0.00240314
-5.03028 0.000435095     2.10554 0.00239864
-5.03024 0.000436071     2.10573 0.00240168
-5.03025 0.000435355     2.10574 0.00239683
-5.03025 0.000434507     2.10586 0.00239501
-5.03023 0.000433979     2.10601 0.00239451
-5.03023 0.000433105     2.106 0.00238971
-5.03021 0.000432516     2.10632 0.00240727
-5.03022 0.000431675     2.10635 0.0024026
-5.03022 0.000430815     2.10637 0.00239783
