-6.66288 0     9.57917 0
-6.66551 8.80569e-05     9.57801 0.000477633
-6.66552 8.79532e-05     9.57798 0.000476706
-6.66551 8.78602e-05     9.578 0.000475566
-6.66551 8.76648e-05     9.57806 0.000477212
-6.66551 8.73913e-05     9.5781 0.000477385
-6.66551 8.71212e-05     9.57808 0.00047602
-6.6655 8.71288e-05     9.5781 0.000474729
-6.6655 8.68807e-05     9.57808 0.000473712
-6.66549 8.70299e-05     9.57809 0.000472498
-6.6655 8.67934e-05     9.57808 0.000471149
-6.6655 8.65888e-05     9.57812 0.000471234
-6.66549 8.65467e-05     9.57813 0.00047
-6.66549 8.62876e-05     9.57813 0.000468607
-6.66549 8.60252e-05     9.57815 0.000467561
-6.66549 8.58434e-05     9.57818 0.000467469
-6.66548 8.64694e-05     9.57823 0.000468512
-6.66548 8.62281e-05     9.57823 0.000467107
-6.66547 8.62641e-05     9.57825 0.00046641
-6.66546 8.6154e-05     9.57827 0.000465489
-6.66545 8.66573e-05     9.57832 0.000466738
-6.66544 8.69491e-05     9.57835 0.000465919
-6.66544 8.67237e-05     9.57834 0.000464543
-6.66543 8.68471e-05     9.57837 0.000463658
-6.66542 8.72237e-05     9.57839 0.000462917
-6.66543 8.70448e-05     9.57839 0.000461569
-6.66543 8.67892e-05     9.5784 0.000460312
-6.66542 8.6629e-05     9.5784 0.000459012
-6.66542 8.64129e-05     9.57843 0.000458647
-6.66542 8.64503e-05     9.57847 0.000459791
-6.66542 8.61996e-05     9.5785 0.000458972
-6.66541 8.60594e-05     9.57853 0.000458995
-6.6654 8.62665e-05     9.57852 0.000457752
-6.6654 8.60198e-05     9.57852 0.000456435
-6.6654 8.57756e-05     9.57851 0.000455324
-6.66541 8.58445e-05     9.57849 0.00045423
-6.66542 8.57351e-05     9.5785 0.000452937
-6.66541 8.58968e-05     9.57852 0.000452174
-6.66541 8.56844e-05     9.57852 0.000450897
-6.66542 8.61546e-05     9.57851 0.000449813
-6.66542 8.59121e-05     9.57848 0.000449336
-6.66541 8.58249e-05     9.57852 0.000449631
-6.6654 8.62935e-05     9.57855 0.000449808
-6.6654 8.60843e-05     9.57851 0.000450581
-6.6654 8.58453e-05     9.57852 0.000449394
-6.66541 8.56412e-05     9.57852 0.000448191
-6.66541 8.54216e-05     9.57854 0.000447093
-6.66541 8.51875e-05     9.57854 0.000445882
-6.66541 8.49591e-05     9.57855 0.000444736
-6.6654 8.47652e-05     9.57854 0.000443547
-6.66541 8.46326e-05     9.57853 0.00044259
-6.66541 8.44022e-05     9.57853 0.0004414
-6.6654 8.43919e-05     9.57857 0.000441602
-6.6654 8.41744e-05     9.57856 0.000440488
-6.6654 8.41358e-05     9.57857 0.000439417
-6.66539 8.40017e-05     9.57858 0.000438259
-6.66539 8.38698e-05     9.57861 0.000438611
-6.66539 8.36919e-05     9.57862 0.000437595
-6.66539 8.35536e-05     9.57861 0.000436596
-6.66539 8.34137e-05     9.57861 0.000435466
-6.66539 8.32174e-05     9.57861 0.000434305
-6.66539 8.29992e-05     9.57862 0.000433327
-6.66539 8.27793e-05     9.57861 0.000432215
-6.66539 8.25602e-05     9.57862 0.000431211
-6.66539 8.23879e-05     9.57863 0.000430089
-6.66539 8.24685e-05     9.57866 0.000430003
-6.66539 8.22877e-05     9.57862 0.000430534
-6.66538 8.23221e-05     9.57862 0.000429434
-6.66537 8.24425e-05     9.57863 0.000428576
-6.66537 8.22281e-05     9.57868 0.00042983
-6.66537 8.20192e-05     9.57865 0.000429286
-6.66537 8.18351e-05     9.57866 0.000428244
-6.66537 8.16932e-05     9.57867 0.000427151
-6.66536 8.17976e-05     9.5787 0.000427135
-6.66536 8.16467e-05     9.57869 0.000426084
-6.66536 8.14379e-05     9.57869 0.00042499
-6.66536 8.1235e-05     9.57867 0.000424443
-6.66537 8.10468e-05     9.57865 0.000423963
-6.66537 8.09307e-05     9.57863 0.000423231
-6.66537 8.07257e-05     9.57864 0.000422335
-6.66537 8.05332e-05     9.57865 0.00042132
-6.66537 8.043e-05     9.57861 0.000421692
